COUNTY_ID,COUNTY,TOWN_ID,TOWN,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
"67000","臺南市","67000280","歸仁區",101.1500000000000000,2.69,1251.41,42.11,17.26,24.85,143.97,"113Y12M"
"67000","臺南市","67000290","關廟區",104.4000000000000000,2.74,616.09,46.62,12.52,34.09,272.23,"113Y12M"
"67000","臺南市","67000300","龍崎區",119.3700000000000000,2.32,52.31,60.15,5.49,54.66,994.78,"113Y12M"
"67000","臺南市","67000310","永康區",95.6600000000000000,2.50,5850.31,38.01,16.74,21.28,127.12,"113Y12M"
"67000","臺南市","67000320","東區",90.3700000000000000,2.39,19596.36,48.02,19.96,28.06,140.61,"113Y12M"
"67000","臺南市","67000330","南區",96.1300000000000000,2.45,17668.32,44.66,12.69,31.97,251.96,"113Y12M"
"67000","臺南市","67000340","北區",93.2800000000000000,2.35,18136.10,43.69,15.01,28.68,191.03,"113Y12M"
"67000","臺南市","67000350","安南區",100.0800000000000000,2.73,1901.45,40.13,18.77,21.36,113.84,"113Y12M"
"67000","臺南市","67000360","安平區",88.3100000000000000,2.32,6354.52,35.73,15.41,20.31,131.79,"113Y12M"
"67000","臺南市","67000370","中西區",92.8000000000000000,2.29,12320.13,58.27,23.52,34.75,147.77,"113Y12M"
"64000","高雄市","64000010","鹽埕區",96.1700000000000000,2.04,15729.82,55.19,10.92,44.27,405.23,"113Y12M"
"64000","高雄市","64000020","鼓山區",90.5500000000000000,2.25,9576.61,49.08,20.96,28.11,134.13,"113Y12M"
"64000","高雄市","64000030","左營區",90.0700000000000000,2.30,10204.36,40.40,17.39,23.02,132.38,"113Y12M"
"64000","高雄市","64000040","楠梓區",94.7700000000000000,2.36,7526.99,42.10,19.82,22.27,112.36,"113Y12M"
"64000","高雄市","64000050","三民區",91.4500000000000000,2.28,16692.46,47.16,16.34,30.82,188.65,"113Y12M"
"64000","高雄市","64000060","新興區",90.4700000000000000,2.05,25082.47,59.27,17.16,42.11,245.47,"113Y12M"
"64000","高雄市","64000070","前金區",87.1300000000000000,1.90,14644.38,52.91,10.78,42.13,390.92,"113Y12M"
"64000","高雄市","64000080","苓雅區",89.8200000000000000,2.16,20030.79,54.97,16.39,38.57,235.29,"113Y12M"
"64000","高雄市","64000090","前鎮區",94.9100000000000000,2.21,9324.45,45.74,13.80,31.94,231.38,"113Y12M"
"64000","高雄市","64000100","旗津區",104.2900000000000000,2.41,17478.65,39.71,10.33,29.38,284.41,"113Y12M"
"64000","高雄市","64000110","小港區",96.5000000000000000,2.18,3396.68,40.98,15.93,25.06,157.32,"113Y12M"
"64000","高雄市","64000120","鳳山區",94.1000000000000000,2.35,13273.10,44.00,17.23,26.78,155.46,"113Y12M"
"64000","高雄市","64000130","林園區",99.9700000000000000,2.44,2103.17,40.50,14.95,25.55,170.93,"113Y12M"
"64000","高雄市","64000140","大寮區",102.4400000000000000,2.44,1579.57,38.97,13.38,25.59,191.23,"113Y12M"
"64000","高雄市","64000150","大樹區",103.7100000000000000,2.76,599.62,42.84,12.01,30.84,256.81,"113Y12M"
"64000","高雄市","64000160","大社區",102.3300000000000000,2.41,1269.67,39.68,12.15,27.54,226.71,"113Y12M"
"64000","高雄市","64000170","仁武區",100.5100000000000000,2.34,2742.62,36.35,15.51,20.84,134.44,"113Y12M"
"64000","高雄市","64000180","鳥松區",99.6600000000000000,2.20,1798.62,44.36,11.54,32.83,284.53,"113Y12M"
"64000","高雄市","64000190","岡山區",96.7700000000000000,2.58,1985.23,44.64,17.47,27.17,155.50,"113Y12M"
"64000","高雄市","64000200","橋頭區",99.5100000000000000,2.33,1645.12,42.72,14.73,27.99,190.07,"113Y12M"
"64000","高雄市","64000210","燕巢區",109.1300000000000000,2.56,436.98,43.21,11.92,31.29,262.57,"113Y12M"
"64000","高雄市","64000220","田寮區",123.8100000000000000,2.11,67.95,58.00,6.72,51.28,762.69,"113Y12M"
"64000","高雄市","64000230","阿蓮區",100.7200000000000000,2.81,783.76,44.08,14.86,29.22,196.57,"113Y12M"
"64000","高雄市","64000240","路竹區",102.4900000000000000,2.81,1026.43,47.61,17.69,29.92,169.15,"113Y12M"
